continent,continentLabel
http://www.wikidata.org/entity/Q15,Africa
http://www.wikidata.org/entity/Q18,South America
http://www.wikidata.org/entity/Q46,Europe
http://www.wikidata.org/entity/Q48,Asia
http://www.wikidata.org/entity/Q49,North America
http://www.wikidata.org/entity/Q51,Antarctica
http://www.wikidata.org/entity/Q538,Oceania
http://www.wikidata.org/entity/Q3960,Australia
http://www.wikidata.org/entity/Q27527,Afro-Eurasia
http://www.wikidata.org/entity/Q150408,Zealandia
